,azi,fn,ft
0,0.0,397.40086667794293,-59.91420829470945
1,2.0111731843575416,397.4483512480174,-59.91530003975171
2,4.022346368715083,397.59076980209073,-59.918577640576196
3,6.033519553072625,397.82801678859295,-59.92404815631531
4,8.044692737430166,398.15991600565746,-59.93172321772706
5,10.055865921787708,398.58622018366,-59.941618831029466
6,12.06703910614525,399.10661041077736,-59.953755110707874
7,14.078212290502794,399.7206954043251,-59.96815593942817
8,16.089385474860332,400.4280106454274,-59.98484857084448
9,18.100558659217874,401.22801738463875,-60.00386317686193
10,20.111731843575416,402.1201015337669,-60.02523234942916
11,22.12290502793296,403.10357245868994,-60.04899056511605
12,24.1340782122905,404.17766168922384,-60.075173621182
13,26.145251396648042,405.3415215628379,-60.103818051751205
14,28.156424581005588,406.59422381952805,-60.13496053239273
15,30.167597765363126,407.93475816544276,-60.168637280890636
16,32.178770949720665,409.3620308229227,-60.20488346131457
17,34.18994413407821,410.87486308452935,-60.243732597709325
18,36.20111731843575,412.471989888416,-60.28521600286307
19,38.212290502793294,414.15205843206445,-60.32936222671882
20,40.22346368715083,415.91803555942744,-60.35704342708327
21,42.23463687150838,417.7646445550444,-60.383986467524835
22,44.24581005586592,419.6896572782814,-60.41271798752673
23,46.25698324022346,421.69133206922885,-60.44327313305425
24,48.268156424581,423.7678328819736,-60.47568287512001
25,50.279329608938546,425.91722850667276,-60.50997362821199
26,52.290502793296085,428.1374919395068,-60.54616689967212
27,54.30167597765362,430.4264999145936,-60.5842789701459
28,56.312849162011176,432.7820326109403,-60.62432060430758
29,58.324022346368714,435.20137037637835,-60.663231153041664
30,60.33519553072625,437.68174892590895,-60.69874485741258
31,62.3463687150838,440.22130505781786,-60.73599425018469
32,64.35754189944133,442.81742812875245,-60.774974728169596
33,66.36871508379888,445.46741256069197,-60.81567542943218
34,68.37988826815642,448.1684588726751,-60.85807912333525
35,70.39106145251395,450.9176749669167,-60.90216213213793
36,72.4022346368715,453.712077677083,-60.94789428445695
37,74.41340782122904,456.54859458777014,-60.99523890458347
38,76.42458100558659,459.3443738185128,-61.0248095951668
39,78.43575418994412,462.16992463833014,-61.05459257729988
40,80.44692737430167,465.02666999789216,-61.08569318196964
41,82.45810055865921,467.91129225211523,-61.11807481651097
42,84.46927374301676,470.8204004218586,-61.151694924078946
43,86.4804469273743,473.75053366597973,-61.18650514811379
44,88.49162011173183,476.6981650360878,-61.22245153299961
45,90.50279329608938,479.65970550663695,-61.25947475446274
46,92.51396648044692,482.53308492413277,-61.288248602431125
47,94.52513966480447,485.1081371062752,-61.28948147834868
48,96.536312849162,487.68485150023724,-61.29180749131332
49,98.54748603351955,490.2599504851573,-61.29519628211995
50,100.55865921787709,492.83012664267176,-61.29961273166197
51,102.56983240223462,495.39204759347484,-61.30501725116633
52,104.58100558659217,497.94236103082204,-61.31136609575743
53,106.59217877094972,500.47769990957835,-61.318611681698336
54,108.60335195530725,502.9946878144626,-61.3267029258417
55,110.61452513966479,505.48994444314087,-61.33558557563002
56,112.62569832402235,507.9600912378498,-61.345202555014346
57,114.63687150837987,510.30250812535144,-61.34739581050713
58,116.64804469273743,512.2555015789484,-61.321161273247796
