,azi,fn,ft
0,0.0,400.12072944550937,-61.76215834387204
1,2.0111731843575416,399.96417145793316,-61.631860574147595
2,4.022346368715083,399.89591937986813,-61.50602152926802
3,6.033519553072625,399.9158310649998,-61.38463339074489
4,8.044692737430166,400.02369571609063,-61.267688520715254
5,10.055865921787708,400.2192351127471,-61.15518031418778
6,12.06703910614525,400.5021046773675,-61.04710397831479
7,14.078212290502794,400.87189436837775,-60.943457229449585
8,16.089385474860332,401.3281294098453,-60.84424091176044
9,18.100558659217874,401.8702708530215,-60.749459531746
10,20.111731843575416,402.5775684187271,-60.60195461400738
11,22.12290502793296,403.4069109617916,-60.43177564548276
12,24.1340782122905,404.32543212240637,-60.26183789318858
13,26.145251396648042,405.3322894428885,-60.09214332156119
14,28.156424581005588,406.42656824714396,-59.922704288420505
15,30.167597765363126,407.6072810408065,-59.75354417248872
16,32.178770949720665,408.87336682660265,-59.584697938606055
17,34.18994413407821,410.23921672244444,-59.384903248658354
18,36.20111731843575,411.6909596140059,-59.17949615588802
19,38.212290502793294,413.22493108239286,-58.97330403791409
20,40.22346368715083,414.8350582700372,-58.76557989919631
21,42.23463687150838,416.5236327859125,-58.55714674736513
22,44.24581005586592,418.2899230657192,-58.34641213650567
23,46.25698324022346,420.1333448191156,-58.12435177130904
24,48.268156424581,422.050916541308,-57.90183336170396
25,50.279329608938546,424.0408389425767,-57.679056305109604
26,52.290502793296085,426.1012295656837,-57.45623823076418
27,54.30167597765362,428.23012219860703,-57.23361496104431
28,56.312849162011176,430.3037531954162,-56.96994634324741
29,58.324022346368714,432.428500048294,-56.703240646555656
30,60.33519553072625,434.61169749962477,-56.43727991649969
31,62.3463687150838,436.8523851769109,-56.172434857044024
32,64.35754189944133,439.1483255829529,-55.90909251530366
33,66.36871508379888,440.79456299258305,-55.51809543152433
34,68.37988826815642,442.4007094906671,-55.115397400043996
35,70.39106145251395,444.047240877872,-54.71689665681958
36,72.4022346368715,445.7326999824442,-54.323246329689105
37,74.41340782122904,447.4556058936897,-53.93510372929915
38,76.42458100558659,448.11431907961565,-53.3779229212045
39,78.43575418994412,448.5945533620815,-52.79654647228501
40,80.44692737430167,449.1054461790527,-52.2267070840073
41,82.45810055865921,449.6475086445301,-51.66930006675166
42,84.46927374301676,450.22128746923005,-51.12520000994131
43,86.4804469273743,450.4556637204114,-50.50829172167676
44,88.49162011173183,450.24930487123254,-49.79750389370313
