,azi,fn,ft
0,0.0,500.9866545197201,-101.06370686130184
1,5.070422535211268,501.0682900952807,-101.12627132517588
2,10.140845070422536,501.356496379634,-101.25730381828195
3,15.211267605633804,501.8492641305771,-101.45593553081072
4,20.281690140845072,502.54313759738494,-101.72083009770934
5,25.352112676056336,503.4332292119146,-102.05018743923301
6,30.422535211267608,504.51324105780736,-102.44174951183429
7,35.49295774647887,505.7754934622024,-102.89280817081693
8,40.563380281690144,507.21096112041585,-103.40021537888246
9,45.63380281690141,508.80931720840977,-103.9603960139333
10,50.70422535211267,510.55898595647585,-104.56936353672819
11,55.774647887323944,512.4472041468175,-105.22273877805434
12,60.845070422535215,514.499128814979,-105.81593619639825
13,65.91549295774648,516.7081349815762,-106.31020320081123
14,70.98591549295774,518.9991695523504,-106.8224713221894
15,76.05633802816901,521.3686283634711,-107.35168819485278
16,81.12676056338029,523.7984642189549,-107.89381125052016
17,86.19718309859155,526.2700118150211,-108.44466705852054
18,91.26760563380282,528.7641226902655,-108.99998182146462
19,96.33802816901408,531.2613088616569,-109.55541365779546
20,101.40845070422534,533.7418942277261,-110.10658645405788
21,106.47887323943662,536.1861725973538,-110.64912502641576
22,111.54929577464789,538.5745709890099,-111.17869128695368
23,116.61971830985915,540.9841387956614,-111.71258381256658
24,121.69014084507043,543.6573438184976,-112.30476627759313
25,126.76056338028168,546.2146928600748,-112.8718228527566
26,131.83098591549296,548.6137451205585,-113.40298976716032
27,136.90140845070422,550.8285958510522,-113.89229535710858
28,141.9718309859155,552.8404846299344,-114.33574824041806
29,147.04225352112675,554.6322839735241,-114.72971927754044
30,152.11267605633802,556.1886774225723,-115.07097485159458
31,157.18309859154928,557.4963206067076,-115.35670680787413
32,162.25352112676057,558.5439826795165,-115.58455867864528
33,167.32394366197184,559.3226658117102,-115.75264785871485
34,172.3943661971831,559.8257007844531,-115.85958344328614
35,177.46478873239437,560.0488171298135,-115.90447949137766
36,182.53521126760563,559.9901867091664,-115.88696353475657
37,187.6056338028169,559.6504400905103,-115.80718021298743
38,192.67605633802816,559.0326555686596,-115.66578997875698
39,197.74647887323943,558.1423211544964,-115.4639628829153
40,202.8169014084507,556.987270327496,-115.20336751439184
41,207.88732394366198,555.5775927871053,-114.886155234949
42,212.95774647887325,553.9255218419885,-114.51493991125811
43,218.0281690140845,552.0453004320774,-114.09277340565181
44,223.09859154929578,549.9530280790692,-113.62311714082804
45,228.16901408450704,547.6664913008665,-113.10981010155955
46,233.2394366197183,545.4094881918346,-112.60290644796778
47,238.30985915492957,543.3138887434155,-112.13278477657201
48,243.38028169014086,541.1059722233325,-111.63962855764792
49,248.45070422535213,538.8024979624993,-111.12552182088659
50,253.52112676056336,536.4221716852246,-110.59462600963187
51,258.59154929577466,533.9841793815302,-110.0512091329565
52,263.6619718309859,531.508019903898,-109.49960883430997
53,268.7323943661972,529.0133394407185,-108.94419579992478
54,273.80281690140845,526.5197695553535,-108.38933787594519
55,278.8732394366197,524.0467703058922,-107.83936522699594
56,283.943661971831,521.6134797664223,-107.2985368300093
57,289.01408450704224,519.2436714064663,-106.75797904065372
58,294.0845070422535,517.0300746886605,-106.03148299694679
59,299.1549295774648,514.8922671037324,-105.33523277763369
60,304.22535211267603,512.8565753610909,-104.67659228082944
61,309.2957746478873,510.94230550958576,-104.06125600746677
62,314.36619718309856,509.1635434498416,-103.49364943920112
63,319.4366197183099,507.5332831939797,-102.97782141493043
64,324.50704225352115,506.063353970799,-102.51742453251647
65,329.57746478873236,504.76435651738007,-102.11569837603429
66,334.6478873239437,503.6456081650365,-101.77545534702924
67,339.71830985915494,502.71509628493516,-101.49906887074167
68,344.7887323943662,501.979439644475,-101.28846376091924
69,349.8591549295774,501.44385724023505,-101.14510854580304
70,354.92957746478874,501.11214421384835,-101.070009586757
71,360.0,500.9866545197201,-101.06370686130184
