	radius	twist	chord	airfoil
0	6.373664386773333e-05	-0.0	0.195	AF0
1	6.606670334613333e-05	-0.0	0.195	AF1
2	7.070908914488889e-05	-0.0	0.149970397419	AF2
3	7.762846990333332e-05	-0.0	0.09	AF3
4	8.677218495635554e-05	-0.020651884783	0.100825087514	AF4
5	9.807064511195554e-05	-0.078128471938	0.130952559775	AF5
6	0.00011143786226515555	-0.146129067698	0.166596396055	AF6
7	0.00012677210382244444	-0.224136146469	0.207485325237	AF7
8	0.00014395666694626668	-0.282127641535	0.238192391685	AF8
9	0.00016286076673573333	-0.26522144722	0.230752097305	AF9
10	0.00018334053157613333	-0.23733689182	0.218488100823	AF10
11	0.00020524009809146665	-0.208805122286	0.206006918921	AF11
12	0.00022839279735662222	-0.184248179038	0.195514923215	AF12
13	0.0002526224233506667	-0.160114686817	0.185110669474	AF13
14	0.0002777445739895555	-0.140430358905	0.175562089205	AF14
15	0.00030356805453746666	-0.126646840386	0.167433200299	AF15
16	0.00032989633271493334	-0.114945357839	0.160592498397	AF16
17	0.0003565290344272	-0.103108575648	0.153672700147	AF17
18	0.00038326346873382216	-0.091226578872	0.146726469393	AF18
19	0.0004098961704467111	-0.082292558299	0.14114700824	AF19
20	0.00043622444862359994	-0.072064285286	0.135466779357	AF20
21	0.00046204792917177776	-0.065515381932	0.130646356161	AF21
22	0.0004871700798103556	-0.059423021744	0.126016472919	AF22
23	0.0005113997058044	-0.053547107261	0.121551077382	AF23
24	0.0005345524050695556	-0.047260641151	0.11727279862	AF24
25	0.0005564519715849333	-0.041173029313	0.112992363874	AF25
26	0.0005769317364256445	-0.035476396777	0.108829392278	AF26
27	0.0005958358362148001	-0.030073055082	0.104846775751	AF27
28	0.0006130203993389333	-0.024933123905	0.101229841187	AF28
29	0.0006283546408961777	-0.020146412296	0.098180593253	AF29
30	0.0006417218580496444	-0.015638526069	0.094959273367	AF30
31	0.0006530203182046666	-0.011140749871	0.088963931168	AF31
32	0.0006621640332583111	-0.006935726724	0.073944629235	AF32
33	0.0006690834140167556	-0.003611417142	0.050911463413	AF33
34	0.0006737257998149333	-0.001392592685	0.028157626526	AF34
35	0.000676055859293911	-0.000278943045	0.008748172727	AF35
